Item number,Custom label (SKU),Title,Relationship ,Relationship details,P:UPC,Available quantity,Start price,Buy It Now price,Reserve price,Current price (future),Format,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay category 1 name,eBay category 1 number,Listing site,High Bid,Bids,Watchers,Start date,End date,Sold status,Relist status,
"234495837212",, Acer Aspire 7720 Complete Palmrest assembly FA01L000900 ,,,"Does not apply","1","40.0",,,40.0,FixedPrice,"Used","","","","","Other Cell Phone Accessories","42425","US",,"","0","Apr-05-22 04:20:03 PDT","Jan-05-24 04:20:03 PST",Unsold,Not relisted
"234495837600",,ACER ASPIRE 7720G LCD Complete Screen Assembly - Tested Fully functional,,,"DOES NOT APPLY","1","60.0",,,60.0,FixedPrice,"Used","","","","","Laptop Screens & LCD Panels","31569","US",,"","1","Apr-05-22 04:20:38 PDT","Jan-05-24 04:20:38 PST",Unsold,Not relisted
"234495910835",,"HP Pavilion 15-CS00XX 15.6"" Series Bottom Case Cover EAG7B00301A ",,,"Does not apply","1","25.0",,,25.0,FixedPrice,"Used","","","","","Laptop Housings & Touchpads","175676","US",,"","0","Apr-05-22 05:40:49 PDT","Jan-05-24 05:40:49 PST",Unsold,Not relisted
"234618408362",,US Backlit Keyboard For Lenovo Yoga C740-15IML  with back plate,,,"Does not apply","1","40.0",,,40.0,FixedPrice,"Used","","","","","Laptop Replacement Keyboards","31568","US",,"","0","Jul-09-22 14:44:36 PDT","Jan-09-24 14:44:36 PST",Unsold,Not relisted
"234618410223",,Lenovo Touchpad Module Board 81TD0005US Yoga C740-15IML,,,"Does not apply","1","30.0",,,30.0,FixedPrice,"Used","","","","","Other Laptop Replacement Parts","168061","US",,"","0","Jul-09-22 14:49:22 PDT","Jan-09-24 14:49:22 PST",Unsold,Not relisted
"234618412207",,Lenovo Yoga C740-15IML Laptop PK23000S7L0 L & R Speakers,,,"","1","15.0",,,15.0,FixedPrice,"Used","","","","","Laptop Housings & Touchpads","175676","US",,"","0","Jul-09-22 14:53:04 PDT","Jan-09-24 14:53:04 PST",Unsold,Not relisted
"234618419667",,Lenovo Yoga C740-15IML Laptop SF30S75150 Finger Print Board with ribbon + cover,,,"","1","20.0",,,20.0,FixedPrice,"Used","","","","","Laptop Housings & Touchpads","175676","US",,"","0","Jul-09-22 15:07:08 PDT","Jan-09-24 15:07:08 PST",Unsold,Not relisted
"234618421137",,Lenovo YOGA C740-15IML Audio Board W/Cable NS-C435,,,"Does not apply","1","15.0",,,15.0,FixedPrice,"Used","","","","","Other Laptop Replacement Parts","168061","US",,"","0","Jul-09-22 15:10:47 PDT","Jan-09-24 15:10:47 PST",Unsold,Not relisted
"234618426824",,Lenovo Hinges YOGA C740-15IML Left & Right with wifi Antenna 81TD0003US,,,"Does not apply","1","20.0",,,20.0,FixedPrice,"Used","","","","","Other Laptop Replacement Parts","168061","US",,"","0","Jul-09-22 15:15:37 PDT","Jan-09-24 15:15:37 PST",Unsold,Not relisted
"234618429786",,Lenovo Strip Cover L 81Td Ig Yoga C740-15Iml 5CB0U43785 screen bezel,,,"Does Not Apply","1","35.0",,,35.0,FixedPrice,"Used","","","","","Other Laptop Replacement Parts","168061","US",,"","0","Jul-09-22 15:18:27 PDT","Jan-09-24 15:18:27 PST",Unsold,Not relisted
